tweets,label
amor yo t doy besitos para q ya no chilles q maricon eres babe,P
esos que le cargan la bolsa a sus mujeres tambien mean sentados pinches jotos,P
maldito marica envidioso deja de criticar gt lt,P
estuvo se escuchara medio joto pero es la verdad re bien bonito,P
tipico no le contestas un dm y dejan de seguirte que mariquita puno en alto,P
en este establecimiento no se discrimina aunque sean prietos gordas jotos nacas pobres nonos putas licenciados etc primero la paz,P
me da un de tecate light no quiere unos tacones tambien pinche marica,P
tenia que ser su hermano jajaja igual de pinches jotos los dos cara llorando de risa cara llorando de risa cara llorando de risa,P
una de las cosas mas vale verga y jotas del mundo es decirle HASHTAG a una mujer mejor dile HASHTAG suena menos mal si lo haces homie URL,P
a donde te vas a ir de vacaciones nueva york las vegas paris londres todas las jotas cliches que no se saben otros destinos,P
mariquitas mariquitas como ninas siempre gritan URL,P
bien que te gustaba el pequeno marica p,P
no manches ese es un transformer,P
soy el mas HASHTAG cuando veo una HASHTAG cara de frustracion HASHTAG HASHTAG,P
que pedo putos quien les inflo tanto el ego que les da el valor o quien les hizo tanto dano,P
jajaja pos no lo tengo mariquita te llamaria para decirte gay o algo asi despues colgaria,P
soy llorar joto nomas los debiles lloran,P
que onda con las amigas de mi hermana que tienen anos y dicen que son bisexuales o seaa,P
ay que pinche marica me saliste,P
aparte de joto con delirio de persecucion si te fuera a secuestrar van en comiendo y camionetas no en un taxi acompanado de una nina chairo estupido,P
un putito asi URL,P
no soy punal,P
yo y mi super poder de tener a puro fan joto que horror,P
hasta eso los hombres gays como que son mas esteticos y refinados las lesbianas machines no URL ya saludos a la comunidad lgbt,P
putos todoos,P
la gente ya quiere que todo sea joto jaja se maman,P
si se dan cuenta que le estan subiendo el ego a un joto tapado verdad,P
son punales y se pintan las unas para no decir que les tienen miedo a los verdaderos informadores,P
no te preocupes yo no atiendo gays ni lesbianas es muy conocido que no simpatizo con esa comunidad y prefiero no atender asuntos ni tener ese tipo de clientes exponiendo a mis colegas o a mi a ser chuleados por personas que no saben respetar al otro buenos dias,P
ustedes no quieren a nadie no se hagan jotos porque cuando les llega alguien ahi estan cargandola,P
vamos pecho frio no alcanzan las palabras donde esta la grandeza que presumes como hinchada verg enza nacional maricones,P
yo URL puto el primero que se contagie del coronavirus cara revolviendose de la risa hombre con la mano en la frente cara con termometro,P
travesti es un vato con vestido transexual vato con chichis transgenero vato sin pilin,P
rarito negro idiota,P
que pinches maricones,P
esta brucita tambien es mariquita mujer bailando tono de piel claro medio,P
muy buenos y triunfadores de clasicos y excelente inicio de semana tengan todos ustedes menos a los que se quejan a ddhh a esos no por maricas y lylurl,P
puto el que me de unfollow ahora que deje tw fav,P
no mms pinche marica que te pico una hormiga o que,P
algun dia me voy a casar con puerto partida soy un marica digo soy un cobarde,P
y le va a regalar un tradicional chorizouw a su hermano marica,P
los hombres dicen solo fue sexo para no verse tan maricas las mujeres dicen fue por amor para no verse tan putas,P
no tambien hay que respetar el hecho de alguien repudie a homosexuales afroamericanos etc digo hay quien gusta de vivir odiando cosas,P
diselo a el transgenero que gano miss espana,P
que trapeada le dieron a la mojarra lesbiana cara llorando de risa URL,P
quibole puto ee peda el fin sbs tqm bye,P
jajajajaja k marica que me bloqueas por wa no aguantas nada cara llorando de risa cara llorando de risa cara llorando de risa cara llorando de risa cara llorando de risa,P
HASHTAG en otras palabras URL,P
estos maricas le echan mix de michelada a sus cervezas bueno comprando pura cerveza culera ha de ser normal,P
jajaja marica de verdad crees que soy marica jajaja,P
yo le hacia el cambio de sexo gratis a HASHTAG por maldito joto cobarde HASHTAG,P
los vatos sacan el lado marica y las morras el lado sharmuta,P
hay que promover una ley contra la propaganda homosexual que condene la difusion de cualquier tipo de promocion de la homosexualidad dirigida a menores de edad con multas y penas de carcel URL,P
habia conocido gays y a ti cara de nauseas,P
que fuerte HASHTAG ya olias a HASHTAG URL,P
por eso luego salen jotos y travestis los chamacos,P
marica puno en alto puno cerrado,P
tengo gustos bien maricas,P
me escriben vieja gacha indios pata rajadas y lesbiana vieja loca comes pollito muerta de hambre en youtube,P
callate joto,P
your score try again i think you can do it well URL los reto pinches punales saque no sean tramposos y contesten que sacaron a la primera,P
cervezas light jotos tenian que ser cara con ojos en blanco cara con ojos en blanco cara con ojos en blanco es lo que hay embarcadero nuevo de nativitas URL,P
quedate con tu vieja cara sacando la lengua y guinando un ojo cara sacando la lengua y guinando un ojo cara sacando la lengua y guinando un ojo pinche viejo joto cara sonriendo con ojos grandes cara sonriendo con ojos grandes URL,P
los maricos que se sienten orgullosos de ser heteronormados y que desprecian a los afeminados son de la misma calana que los negros que no salen con negros mas oscuros porque los creen inferiores,P
veracru tierra de mayates y de hermosas mujeres URL,P
alguien recuerda cuando salio justin bieber con su sencillo baby y todos pensamos que bueno que le den la oportunidad a una lesbiana,P
puto el que lo lea v,P
pinche morro meco traes un mazda y te estacionas en doble espacio para que no te lo rayen cara llorando de risa ni que fuera ferrari joto,P
por puto URL,P
federer mierda tanto esfuerzo para jugar como marica el tie break,P
qp con esa loca lesbiana luna nueva con cara cara sonrojada,P
como que hay mujeres trans lesbianas para que se hizo trans si va a ser lesbiana no tiene logica,P
les juroo que no queriamos bailar tan joto cara llorando de risa cara llorando de risa cara llorando de risa cara llorando de risa cara llorando de risa cara llorando de risa cara sonriendo con cuernos URL,P
mi panda de oro con el miembro de fuera lo quiero mucho vaya cagada de fox sports rompiendo el tridente magico para meter con calzador en las narraciones a la machorra,P
si ya sabemos que te pones en cuatro por una chela y aqui vienes a tuitear que te haces la dificil jota ridicula,P
entre mas viejo mas pendejo y mas maricon norona,P
si quieren que tome su opinion en cuenta procuren no ser unas locas que andan ensenando las nalgas en redes sociales ven por que la gente nadie respeta a la comunidad lgbt porque se comportan como unas prostitutas sacadas de sodoma y gomorra,P
de todos modos nadie te cree solo sabemos que eres un periodista amarillista y homosexual,P
mariquita sin calzones URL,P
ojala ese punal ya no pueda ir a usa,P
bloody mary pide una cerveza eso esta muy de tremendo marica considero,P
estan para llorar les deberia dar verg enza barridos por los si no tienen ganas de jugar dediquense a otra cosa juegan como unas mariquitas cara con simbolos en la boca rata cara vomitando,P
como cuando te maquillas un chingo para dejar de verte como una mujer fea y entonces te ves como un travesti feo URL,P
crei que era anahi pero solo resulto ser un trans URL,P
pinche joto maricon decepcionante tu participacion jamas pagaria por verte nuevamente en el octagono,P
ahh pero sus homosexuales pregonando su love por todo el mundo son iguales de locos que todos o hasta peores,P
quee no puede ser no me sorprende despues de los homosexuales siguen cosas peores al rato va ser legal los pederastas cara gritando de miedo,P
esta medio gay tu pregunta jajaja pero si el cabello largo viene de moda dale micky,P
me tienes envidia maricon,P
jajaja no seas joto,P
marica,P
alguien es bien nena mariquita y flojo y ademas no quiere aceptarlo,P
de quien es al fundillo ya sal del closet punal frustrado no pasa nada y al contrario igual por fin puedes ser feliz en tu lamentable vida te lo escribio un heterosexual lamentable tus comentarios homofobicos URL,P
puto check joto check maricon check el problema es suyo no nuestro,P
primero que nada buenos dias y segundo ya se te quito lo joto,P
uy un joto,P
parezco puto omi de duelo xiaolin URL,P
no salio domador jotito de poncho no doma ni mayate que trae,P
neta no me sorprende pero que hueva con los gueis un vato bien parecido mamado pone cosas que al chile no dan nada de gracia y los jotos de juhjugujugjug te pazas URL,P
lo que tienes de hablador los tienes de puto,P
me regresa el acento colombiano maricas mal paridos,P
ya vas a empezar marica,P
ya no conozco a nadie en el pueblo para salir solo mi mejor amigo y el marica ya se fue a dormir eso me obliga a beber solo cara triste pero aliviada,P
estupido marica mentiroso ignorante como confunde una tragedia tan marcada para eu y HASHTAG URL,P
en la carcel marica donde deben estar los delincuentes que infringen la ley como los que hicieron esto a un policia de guadalajara URL,P
se vera muy joto el baking cara llorando de risa,P
ya valiste verga con tu URL lo ves soda es de jotos,P
mis felicitaciones por este medio a los dos putos de la shit y no son gays pero si se los siguen cogiendo si se pueden hacer URL,P
pinche joto jajajajajaja,P
espere que aceptes la ayuda del arbitro maricon pendejo,P
lo que pasa es que marimacha porque el otro se hizo joto,P
es tatiana el joto parece que no la conoces encuerada,P
te mandaron al chorizo punal URL,P
subeteamimoto no porque soy joto y me puedo caeer HASHTAG URL,P
pide a que no adoctrine a nuestros hijos con ideologia de genero en sus programas infantiles firma URL,P
jefe ese punal es un botarate o sea un pendejo saludos URL,P
me caga sentir tanto por alguien me caga el solo echo de sentir me siento tan marica,P
se me hace que eres punal,P
si puro joto andaba chupando cana,P
los hubieras abrazado joto URL,P
nmms aguante maricon cara llorando de risa,P
HASHTAG como se ve q todo esta arreglado para q mexico gane es falso y rosique no seas punal mao guau no seas puto cabron,P
porque sera URL de maricones cara enfadada cara haciendo una mueca URL,P
no seas joto,P
desafortunadamente la mayoria de las personas proyectamos nuestros traumas y carencias en alguien mas y eso no esta para nada cool y sumale que los gay tienen complejo de regina george mujer encogida de hombros tono de piel medio,P
antes les decian la margaritas del atlas hoy son las mariquitas limosna puntos,P
aplica de cualquier modo si muchos homosexuales michoacanos fueron a cedemex se desequilibro la balanza dejando una concentracion anormal,P
puto el que lo lea,P
pense que ya no podias ser mas joto ahha,P
como tu no puedes maricon,P
jajaja ni el odio de dios combinado al tuyo le quitara lo travesti que se ve jared,P
si fueras hombre te agarro a madrazos asi que mejor te madreo a puras cachetadas HASHTAG,P
pinche estupido marica wey quitate del aparato alv cara sin expresion,P
puto URL,P
si no traes un peinado de goku entonces no eres lesbiana,P
jajaja es que las lesbianas me dan miedo,P
cuando van a subir video par de maricones cara sonriendo con aureola,P
cc tu crush de la primaria te habla como si fueran los mejores amigos del mundo jajaja joto ya ni me acordaba de tu existencia no mms,P
mariquita URL,P
eres un maricon,P
marica,P
sabia que eran maricas pero no tan descarado cara llorando de risa cara llorando de risa cara llorando de risa cara llorando de risa URL,P
p d activa la cuenta de puto grupito pinche maricon cobarde,P
la chinita sigue creyendo que el frank es hombre hasta mayate tiene en el gimnasio,P
porque van a trabajar a una oficina con una cangurera aparte de verse maricones van a hacer ejercicio no mamen pinches nacos,P
a ti lo que menos te importa es la ninez mexicana los utilizas para escudar tus mezquinos intereses pinche mayate,P
otro jotito rayado enamorado que quiere que le contesten jaja,P
jajaja todo un mayate papi dile a tu presidentito jajaja los de la marina parecen mayates bueno son,P
ya cortate el pelo gay mexicali baja california URL,P
si pero en punal,P
sigues siendo el mismo marica de siempre,P
maricon URL,P
maciones del pinche URL aizen gay,P
putito te refieres a mi,P
tantos tatuajes y yo taan pobre y marica al dolor cara de frustracion,P
pinche maricon pendejo neta ojala que se url cara con simbolos en la boca cara con simbolos en la boca cara con simbolos en la boca cara con simbolos en la boca URL,P
ya cualquier punetas critica a lo pendejo y a la hora de responder URL pinches jotos,P
si la verdad se ve muy joto ese mono con los ojos tapados cara con ojos en blanco cara revolviendose de la risa,P
nel mi HASHTAG que chingue a su madre el putito de caca con ojos de HASHTAG un HASHTAG y se cae pinque mariquita de miercoles HASHTAG,P
pinche grupito de puros putos no mmes,P
no traten de ocultar que les gusta que le metan el pene por la cola eso es HASHTAG puro afeminado,P
fanaticos y mariquitas es lo que son todos ustedes y ademas son capaces seguro de organizar un golpe vigilar a estos,P
si la costena tiene chile es HASHTAG jajajajjajjaaja,P
mira nomas y el hombre trans tiene escroto digo aprovechando el comentario,P
sera a los jotitos ellos prefieren las banderillas cara revolviendose de la risa cara revolviendose de la risa cara revolviendose de la risa cara revolviendose de la risa,P
vergas con el gay que me acaba de hablar,P
quien no entiende el sarcasmo cuando le toca es marica,P
porque siempre me insultas maricon i no veniste a casa de h u u,P
machorra y americanista cara pensativa,P
no uso desodorante ni articulos homosexuales yo huelo a hombre,P
por mi se pueden morir no tengo conveniente URL,P
adivinen quien maricas me dejaron sola viendo anabell por que les dio miedo cara sin boca si mis hermanos cara con mano sobre la boca cara de por favor,P
ahora ya eres tigre maricon pinche vendido si quieres vente te pago el boleto para que veas coronarse a las chivas,P
chinga tu madre puto marica ni foto tienes cuando ofendas minimo da la cara pocos huevos,P
donde estan los maricas,P
la jota cajera casi me avienta el dinero cuando le dije que no queria redondear cara llorando de risa,P
y si es travesti jajajajaja broma,P
al final de la transmision del cazul ame por la app de ponen a a hablar mal del televisa eres una arrastrada que hace el coyon en un programa de deportes por eso te quieren dejar sin dientes marica HASHTAG HASHTAG,P
beto y enrique de plaza sesamo eran pareja tenian que salir con esto por favaar a fuerza tiene que ser todo gay,P
sera gay solo asi se entiende su accionar de por si tienen fama de maricones no piensa le gana la emocion,P
los de las chivas son jotos ponga molotov la de puto para todos los chivas,P
es gay yo respeto pero que no ande de ofrecido,P
pinche puto y seguramente se mete otras cosas,P
o sea que es un wey que le gusta recibir y que no es obvio o afeminado que eso no lo sabes tu maricon,P
me he vuelto muy marica con las peliculas de amor me odio,P
buenos dias js closeteras y obvias ya es diciembre deseo de corazon que se vayan a la berga este dia y mes dedo corazon hacia arriba tono de piel claro,P
son unos abusivos pero con los delincuentes se portan como mariquitas URL,P
no sabia que eras lesbiana aunque si tienes como tipo de machete pero me sorprende que te encueres cara con mascarilla medica cara con mascarilla medica,P
ufas amigos si no fuera algo muy gay te declaramos nuestro principe,P
para que ser una jotita discreta si puedes ser hetero moderna,P
las de kittie parecian lesbianas no como las mystica girls ellas son bien femeninas,P
no sean maricas cuando ustedes redactan spoilers o los comparten si les da mucha risa ahora todos quieren llorar por spoilers de star wars,P
por fin se te quito lo puto celebro,P
eres un guevon y maricon que no haces lo que te dije juega otro nivel que no sea online en geometry dash y si lo vez ya te dije,P
noche de sushi es lo mas gay,P
felicidades a todos los jotos que si bien no son madres han cargado con los chavitos de otro cara lanzando un beso,P
maricon de mierda,P
no no esq la marica de salio con sus cosas a la mera hora y ya no pude hacerte invitacion HASHTAG,P
jajaja que joto,P
si se va a vestir de puta como todos los anos en halloween por lo menos en este ano si ponganse desodorante luego anda bien hedionda con su suspensorio y arnes imitacion piel todo sudado lleno de meco de desconocido respeto,P
puto viejo joto alvv picate el culo con tu punto formato y las vergas esas de ishikawa me la pelan alv pendejo metete el por la verga alvv,P
que poca madre pero el joto y la machorra de la prefieren defender a los malditos delincuentes HASHTAG URL,P
te dijee borrado por fin y tambien de la seleccion con su lesion de marica tambien borrado URL,P
si vas directo al grano se ofenden si es conversacion normal te URL nada les parece y por la forma en responder es una travesti loca cara pensativa URL,P
o ya mejor me hago puto,P
que mamada eh seguramente todos los que iran a esa pendeja marcha son mas closeteros que nada HASHTAG,P
maricas URL,P
si algo me castra el wuevo son los maricas con complejo de paris hilton osea el de los homosexuales,P
jotos de gdl con aires de diva no plz,P
a poco se acabaron las prostitutas y maricones en televisa que tienen que sacar esta mamada otra vez HASHTAG,P
ya tiene cara el maricon cobarde pocos huevos uaem URL,P
nunca habia visto a tanto maricon reunido,P
jajajajajajaja marica de mm URL,P
no los bebes son una bendicion y tienen derecho a vivir cierra tus piernas lesbiana solo profanas el odio a dios te vas a ir al infierno satanas es tu pastor que culpa tiene ese angelito de tu calentura te hubiera gustado que te abortaran maldita estupida sologenerasodio muerete,P
huele a joto playa de los muertos in puerto vallarta jalisco URL,P
cuando te cases puto URL,P
me dan mucha risa los memes de la jota de caso cerrado cara llorando de risa cara llorando de risa cara llorando de risa,P
vas a ir si vas a ir pero a URL a tu mamy por maricon,P
chingo a su madre nuestra puta moral,P
tus papas saben que juegas a la bisexual en internet,P
