index,tweets,label
178,"Esos que le cargan la bolsa a sus mujeres, también mean sentados?

Pinches jotos",P
179,Maldito marica envidioso. Deja de criticar. &gt;.&lt;,P
180,"@vikh666 estuvo (se escuchará medio joto, pero es la verdad) re bien bonito.",P
181,"Típico no le contestas un DM y dejan de seguirte, que mariquita ✊",P
182,"En este establecimiento no se discrimina aunque sean prietos, gordas, jotos, nacas, pobres, ñoños, putas, licenciados, etc. Primero la paz.",P
183,"-¿Me da un 12 de Tecate light?
-¿No quiere unos tacones también, pinche marica?",P
184,Tenia que ser su hermano jajaja igual de pinches jotos los dos😂😂😂,P
185,"Una de las cosas más vale verga y jotas del mundo es decirle #tipa a una mujer. Mejor dile #puta, suena menos mal. Si lo haces, homie: url",P
186,"¿A dónde te vas a ir de vacaciones?
-Nueva York
-Las Vegas
-París
-Londres.
Todas las jotas clichés que no se saben otros destinos.",P
187,"Mariquitas, Mariquitas, como niñas siempre gritan. url",P
188,@xneritax bien que te gustaba el pequeño marica :P,P
189,@Maxi_HP @frankymostro no manches ese es un transformer,P
190,"Soy el más #marica cuando veo una #cucaracha !!!! 😖

#asca
#diug",P
191,"¿Qué pedo, putos? ¿Quién les infló tanto el ego, qué les da el valor o quién les hizo tanto daño?",P
192,"@LaSantiagoo Jajaja pos no lo tengo, mariquita. Te llamaría para decirte ""gay"" o algo así, después colgaría.",P
193,"@Mariana_car05 Soy llorar joto, nomás los débiles lloran!",P
194,¿Qué onda con las amigas de mi hermana que tienen 13 años y dicen que son bisexuales? O seaaaa,P
195,Ay! Que pinche marica me saliste.,P
196,"@edgaromarel @SoyDonParty @XoloElvis @Claudiashein @lopezobrador_ Aparte de joto con delirio de persecución, si te fuera a secuestrar van en comiendo y camionetas no en un taxi acompañado de una niña. Chairo estupido.",P
197,Un putito así url,P
198,@MaricelaArnaiz @_Bisou_Caramel_ No soy puñal.,P
199,"Yo y mi súper poder de tener a puro fan, JOTO! QUE HORROR",P
200,"Hasta eso los hombres gays como que son mas estéticos y refinados, las lesbianas machines no url ya, saludos a la comunidad LGBT.",P
201,PUTOS TODOOOOS,P
202,La gente ya quiere que todo sea joto jaja se maman.,P
203,"Si se dan cuenta que le están subiendo el ego a un joto tapado, VERDAD?",P
204,@NachoRgz @ChumelTorres @LuisitoComunica Son puñales y se pintan las uñas. Para no decir que les tienen miedo a los verdaderos informadores.,P
205,"@fernandaO17 @SergioEsquerra @marvinfiscal @LCoanaBe No te preocupes yo no atiendo gays ni lesbianas, es muy conocido que no simpatizo con esa comunidad y prefiero no atender asuntos ni tener ese tipo de clientes, exponiendo a mis colegas o a mi a ser ""chuleados"" por personas que no saben respetar al otro.
Buenos días.",P
206,Ustedes no quieren a nadie. No se hagan jotos. Porque cuando les llega alguien. Ahí están cargándola!!!,P
207,"Vamos pecho frío, no alcanzan las palabras, donde está la grandeza que presumes como hinchada? @Rayados vergüenza Nacional maricones!",P
208,Yo url Puto el primero que se contagie del coronavirus! 🤣🤦‍♂️🤒,P
209,"@CapiSpeaking travesti  es un vato con vestido, transexual vato con chichis, transgénero, vato sin pilin",P
210,Rarito negro idiota,P
211,@EDER_INFO7 @CFCorrecaminos @EstadioMRG Que pinches maricones!!,P
212,Esta Brucita también es mariquita! 💃🏼,P
213,"Muy buenos y triunfadores de clásicos y excelente inicio de semana tengan todos ustedes, menos a los que se quejan a DDHH, a esos no por maricas y LyLurl",P
214,"Puto el que me de unfollow, ahora que deje tw.
FAV.",P
215,No mms pinche @neymarjr marica que te pico una hormiga o que,P
216,Algún día me voy a casar con Puerto partida (Soy un marica digo soy un cobarde),P
217,@ElPulpomo @EVIDEGARAY @jrsestaca y le va a regalar un tradicional chorizouw a su hermano Marica,P
218,"""@AlmaCulera: Los hombres dicen ""sólo fue sexo"" para no verse tan maricas.

Las mujeres dicen ""fue por amor"" para no verse tan putas.""",P
219,"¿No también hay que respetar el hecho de alguien repudie a homosexuales/afroamericanos/etc? Digo, hay quien gusta de vivir odiando cosas.",P
220,@swisingley Díselo a el transgénero que ganó miss España,P
221,Que trapeada le dieron a la mojarra lesbiana 😂 url,P
222,"@Caarloosgzz Quibole puto, eee peda el fin sbs tqm bye",P
223,JAJAJAJAJA k marica que me bloqueas por wa @esteban_gv97 no aguantas nada😂😂😂😂😂,P
224,#MARICA en otras palabras url,P
225,"Estos maricas le echan mix de michelada a sus cervezas. Bueno, comprando pura cerveza culera, ha de ser normal.",P
226,@_RomiRodriguez jajaja marica? De verdad crees que soy marica? Jajaja,P
227,Yo le hacia el cambio de sexo gratis a #Daniel por maldito joto cobarde #YoNoCreoEnLosHombres,P
228,Los vatos sacan el lado marica y las morras el lado sharmuta,P
229,"Hay que promover una ley contra la propaganda homosexual, que condene la difusión de cualquier tipo de promoción de la homosexualidad dirigida a menores de edad con multas y penas de cárcel. url",P
230,Había conocido gays y a ti 🤢.,P
231,Qué fuerte #Epn ya olías a #putito url,P
232,@elmorfeus por eso luego salen jotos y travestís los chamacos!!,P
233,MARICA! ✊👊,P
234,Tengo gustos bien maricas.,P
235,"@soymaestramiel Me escriben vieja gacha indios pata rajadas y lesbiana vieja loca, comes pollito muerta de hambre en Youtube",P
236,@jesusEsc11 Callate joto,P
237,"Your score : 67.101, Try again! I think you can do it well! url

Los reto pinches puñales: @samuelpi_ @markcups @santa_nero 
Saque 67, no sean tramposos y contesten que sacaron a la primera.",P
238,Cervezas light??? Jotos tenían que ser!! 🙄🙄🙄 es lo que hay! @ Embarcadero Nuevo de Nativitas url,P
239,@ClonMil Quédate con tu Vieja 😜😜😜 pinche viejo joto😃😃 url,P
240,Los maricos que se sienten orgullosos de ser heteronormados y que desprecian a los afeminados son de la misma calaña que los negros que no salen con negros más oscuros porque los creen inferiores.,P
241,Veracru tierra de mayates y de hermosas mujeres url,P
242,"Alguien recuerda cuando salió Justin Bieber con su sencillo ""Baby"" y todos pensamos ""que bueno que le den la oportunidad a una lesbiana""???",P
243,Puto el que lo lea :v,P
244,Pinche morro meco traes un Mazda y te estacionas en doble espacio para que no te lo rayen 😂 ni que fuera Ferrari joto,P
245,Por puto url,P
246,Federer mierda tanto esfuerzo para jugar como marica el Tie Break!! :(,P
247,Qp con esa loca lesbiana🌚😳,P
248,¿Cómo qué hay mujeres trans lesbianas? ¿Para que se hizo trans si va a ser lesbiana? No tiene lógica.,P
249,Les jurooooo que no queríamos bailar tan joto 😂😂😂😂😂😂😈 @danieltvherrera @arturomapache… url,P
250,"Mi Panda de Oro con el miembro de fuera. Lo quiero mucho, vaya cagada de Fox Sports rompiendo el tridente mágico para meter con calzador en las narraciones a la machorra.",P
251,Si ya sabemos que te pones en cuatro por una chela y aquí vienes a tuitear que te haces la difícil. Jota ridícula.,P
252,@SergioSarmiento @fernandeznorona Entre más viejo mas pendejo y más maricon Norona.,P
253,Si quieren que tome su opinión en cuenta procuren no ser unas locas que andan enseñando las nalgas en redes sociales. ¿Ven por qué la gente nadie respeta a la comunidad LGBT? Porque se comportan como unas prostitutas sacadas de Sodoma y Gomorra.,P
254,@CarlosLoret @EPN @realDonaldTrump @lopezobrador_ De todos modos nadie te cree !!! Solo sabemos que eres un periodista amarillista y homosexual !!!!!,P
255,MARIQUITA SIN CALZONES ! url,P
256,@Valerebe20 Ojalá ese puñal ya no pueda ir a USA,P
257,"@acelerinoDJ bloody mary?!! pide una cerveza eso esta muy de tremendo marica ,considero",P
258,@Dbacks ESTAN PARA LLORAR LES DEBERÍA DAR VERGÜENZA BARRIDOS POR LOS @Nationals si no tienen ganas de jugar dedíquense a otra cosa juegan como unas mariquitas 🤬🐀🤮,P
259,Como cuando te maquillas un chingo para dejar de verte como una mujer fea y entonces te ves como un travesti feo. url,P
260,Creí que era Anahí pero sólo resultó ser un trans. url,P
261,"@LiLHeathenMMA pinche joto maricon, decepcionante tu participación, jamás pagaría por verte nuevamente en el octágono",P
262,@VILLALVAZO13 @reforma_222 Ahhhhh pero sus homosexuales pregonando su “Love” por todo el mundo. Son iguales de locos que todos. O hasta peores.,P
263,"@estarc62 @SCJN queeee!No puede ser! no me sorprende, después de los homosexuales, siguen cosas peores.Al rato va ser legal los pederastas😱",P
264,@Olbaid666 @Cristiano Esta medio gay tu pregunta jajaja pero si el cabello largo viene de moda dale micky,P
265,Me tienes envidia maricón!!,P
266,@AndrewsGamez jajaja no seas joto,P
267,@DanielPolina21 marica,P
268,"Alguien es bien nena, mariquita y flojo y además no quiere aceptarlo.",P
269,"De quién es al fundillo?
Ya sal del closet puñal frustrado, no pasa nada y al contrario igual por fin puedes ser feliz en tu lamentable vida.
Te lo escribió un heterosexual 100%.
Lamentable tus comentarios homofóbicos. url",P
270,"Puto: check
Joto: check
Maricón: check

El problema es suyo, no nuestro.",P
271,@julioorojo Primero que nada buenos días y segundo ya se te quito lo joto?,P
272,@kai_leonardo Uy un joto,P
273,Parezco puto Omi de duelo Xiaolin url,P
274,@asiesmonterrey @ZeusXolDTj @_vicman @PonchoDeNigris no salio domador jotito de poncho no doma ni mayate que trae,P
275,"Neta no me sorprende, pero qué hueva con los gueis. Un vato bien parecido-mamado pone cosas que  al chile no dan nada de gracia y los jotos de ""Juhjugujugjug te pazas"". url",P
276,"Lo que tienes de hablador, los tienes de PUTO",P
277,Me regresa el acento colombiano! Maricas mal paridos,P
278,@AleRayado Ya vas a empezar marica.,P
279,"Ya no conozco a nadie en el pueblo, para salir, solo mi mejor amigo y el marica ya sé fue a dormir!!! Eso me obliga a beber solo 😥",P
280,Estupido marica mentiroso ignorante  @realDonaldTrump como confunde 911 una tragedia tan marcada para EU y #NewYork url,P
281,"@genarolozano @gabrielguerrac En la cárcel marica, donde deben estar los delincuentes que infringen la Ley.

Como los que hicieron esto a un policía de Guadalajara url",P
282,Se verá muy joto el baking? 😂,P
283,@_TioGamboin Ya valiste verga con tu url Lo ves? Soda es de jotos.,P
284,"Mis felicitaciones por este medio a los dos putos de la 4 shit @AntonioAttolini  y @gibranrr no son gays pero ,si se los siguen cogiendo , si se pueden hacer ! url",P
285,@Diegoteodia pinche joto jajajajajaja,P
286,"@MiguelHerreraDT / espere que aceptes la ayuda del árbitro, maricon, pendejo",P
287,@i_MarilynMonroe lo que pasa es que marimacha. Porque él otro se hizo joto,P
288,@_nxlsxn @caracoldiaz Es Tatiana el joto. Parece que no la conoces encuerada.,P
289,"Te mandaron al chorizo, puñal. url",P
290,"SubeteAMiMoto 
No porque soy jotó
Y me puedo caeeeer
#Remixfist url",P
