,index,tweets,label
40,40,que jotos pero en fin me caen bien jaja url,0
41,41,esto es un asalto deme su dinero y nadie saldra herido me van a violar no senora porque no son jotos o que,0
42,42,cuando las lesbianas salen a comer quien paga la cuenta yo misogino,0
43,43,y todo para que para que termines mordiendo almohadas mayate,0
44,44,jhonatan garibay ajajajaja si no es que se huanguea tu puno y se vuelve punal como manuela palma x d,0
45,45,mariquita mariquita como radio siempre iioras,0
46,46,sabes que un hombre es gay cuando pone un playlist de rocio durcal,0
47,47,un slam como en el rocodromo culos toodos miedosos maricas,0
48,48,si son bien jotos,0
49,49,aplican el o que ches jotos,0
50,50,esteban mqz g que puto primero se burla de nuestro crack y luego llora cuando lo encaran marica,0
51,51,oye vahooz ayudame a hacerle llegar esto al joto ese de matt url,0
52,52,jimenice capitan america es un marica que cambio a tony por su amigo asesino,0
53,53,tuca ferretti miguel herrera dt si que paso pinche piojo punal jajajajaja profe tuca es lo maximo usted vamos por la sexta copa,0
54,54,me caga lo marica que puedes llegar a ser,0
55,55,amigas solteronas mejor den gracias a mi tocayin san antonio porque no les ha dado un novio falso panzon borracho closetero y pinche feo,0
56,56,reporte indigo pinche joto mejor me la hubieras mentado jajajaja,0
57,57,adrianna garco que marica hahaha mejor riifate en el final,0
58,58,paconunezz dijo el joto,0
59,59,peponrsk paliplax davidrincongz que chingue su madre el punal chivista del pali,0
60,60,abrahamendieta otra jota liosa de derecha,0
61,61,rdz roberto donrober nosotros si sabemos perder marica,0
62,62,normareyessolis los dos jotazos ojala fueran homosexuales pero son maricas con poder y de closet secreto a voces,0
63,63,te tengo a un lado y no te lo digo por marica jajaja,0
64,64,castillejos m no seas mamon no seas localista le vas a rayados y no nos jusgas pinche joto,0
65,65,ciro gomez l lopezobrador vean como el presidente electo por millones de ilusionados con un supuesto cambio no cumple nada de lo que ofrece aunque se trate de casos de vida o muerte ahora despues del nino ahogado lopezobrador reacciona no por apoyarlo sino por intentar no ser impopular maricon,0
66,66,abraham mel ni das nada maricon,0
67,67,cardonamex los insultos no son por informar son por mal informar para desprestigiar andan pregonando de lo que carecen el que se lleva aguanta y no anda de cobarde ni de chillon como marica de ropero viejo no que muy sacale punta hipocrita,0
68,68,don vocero silvanoaureoles lopezobrador pide pruebas y se las llevan y se zurra asi de maricon es,0
69,69,por que no le dicen a esta lesbiana que callada se veria mejor nadie le pidio su perra opinion y antes de hablar que se lave el hocico con agua bendita la sen ora vero nica castro es una gran dama y una gran mujer se teni a que decir y lo dije url,0
70,70,intensamente y creed todo lo demas esta de hueva pretencioso y gay te odio puta chica danesa,0
71,71,me llamo munequito pinche joto ya ni mis tias,0
72,72,no habia visto tu foto de perfil ajajajajaj k gay,0
73,73,es feo que a esa altura quieran taparle el ojo al macho y seguir de closeteros neta a los dos se les veia el precio y pues ojala y el despechado haya mandado a la verga al closetero o bi o quiza solo era culero,0
74,74,de que me sirve tener amigos gays si no me sirven para consejos de moda betunatun dada badgayfriends,0
75,75,pose de lencha alfa,0
76,76,jesus lopcor csl el carlos rdz ramon falta y quieras a la gilbertona wey inche maricon jajajajajaja url,0
77,77,dile a ese amigo y tu k se vayan ala verga de mi parte tengan huevos de decirmelo en mi cara putos de mierda,0
78,78,me considero un ser de luz pero nunca le rendire tributo a cfe bola de jotos,0
79,79,esa foto de portada que jajajajajj che transformer feo eww,0
80,80,manzano dante gilelihu ese mariconcito todo rayado es el que dice que al presidente lo apaleen chales seguro no sale de antros gay para despues simular heterosexualidad sin bronca por lo lgbtti comunidad muy respetable pero desde china y con neblina se le nota lo maricon lo cobarde y lo alienado,0
81,81,ser tortillero me hace lesbiana cco oliver mx url,0
82,82,llega un jotito a una taqueria le dice senor taquero meda un taco con chile noo mejor sin taco y por favor jojojojo,0
83,83,jueguen pinches jotos que para ser campeon le tienes que ganar a todos,0
84,84,los policias y los jotos,0
85,85,marica le gritaron y desde entonces se guardo en un closet,0
86,86,haciendosela de pedo a jotos useless,0
87,87,asfixiada tienes una sobrina lenchita desde chiquita o tenia hambre nada mas,0
88,88,porque el marica no lloro igual o peor cuando el farca lo elimino el ano pasado voz madridista url,0
89,89,villanuevac esa es lencha jajajaja,0
90,90,los fifas cuando vean a mucho joto en el estadio del superbowl para ver a rihanna url,0
91,91,sirena rock la cita no es ni marica ni de adolorido es una obra maestra jajajaja y ya sh,0
92,92,nada mas peligroso que un joto con autoestima demasiado alto,0
93,93,nombres de punal leonardo emmanuel sergio omar saul eric eduardo rodrigo jorge ese es todo el tuit gracias por su atencion,0
94,94,tipico que van a jugar gotcha y se cubren como con chalecos de kevlar los muy homosexuales,0
95,95,michohansen odin dupeyron esta muy gay tu lago de los cisnes tchaikovski no tienes algo mas hetero por ahi,0
96,96,no cabe duda que yo me visto medio vato y el se viste super gay,0
97,97,lo siento soy muy marica para el dolor,0
98,98,como me ultra cagan las comadres chavo gay y amiga gorda que vienen al gym a hacerse pendejas nadamas ocupan aparatos y pesas a lo estupido porque nisiquiera hacen bien el ejercicio y se la pasan hable y hable y se ponen solitos sus ejercicios hdsptm,0
99,99,la marica loca quiere bailar,0
100,100,a moco tendido con la peli de votos de amor asi o mas marica,0
101,101,mauritrevino pinche joto,0
102,102,profe que es la homofobia callese maricon oiga profe respete a mi companero uy llego su novio a defenderlo beso beso beso,0
103,103,con argentina se chingan pinches holandeses maricones hijos de su ptm,0
104,104,neymarjr tiene que jugar en liga de maricas,0
105,105,santiagodelacm punal,0
106,106,le bron es una diva todo reclama ojala hubiera jugado contra los pistons o knicks para que viera que es madriza mariquita el rey,0
107,107,neta me tuve que hacer un spoiler pa que todo resultara super gay,0
108,108,agh bo adal gvc no lloren jotos,0
109,109,gano del mazo es neta jajajajaja pate ticos priistas de mierda no va a ganar esa jota de closet no mas pri,0
110,110,le aplicaremos una prueba de alcoholimetro ha bebido hoy una capuchino moca y un nestea frio ok la multa es de por maricon,0
111,111,pinche noto maricon vente hacer lio a otro lado,0
112,112,tenoch huerta versionextend y lo merecen o solo es darle un premio a alguien por ser gay moreno o negro madre soltera o con alguna discapacidad,0
113,113,pajaropolitico newsweek espanol que chingue a su madre ello porque es joto y su madrina el orate rt,0
114,114,dejen de tuitear sobre el partido ya empezo gaim of trons un pendejo mariquita,0
115,115,palopalitom visaje el suyo marica ya se ve peor que ya sabemos quien,0
116,116,ay el juann jajajajaja puto descarado borracho y mana influencia de nuevo porque lo escribi mal gg,0
117,117,revistaproceso pinche joto,0
118,118,ahora todos piensan que soy lencha,0
119,119,ya mejor me duermo no vaya a ser que se me incentive el instinto suicida darks marica,0
120,120,primero agarro e idiotizo a los jotos ahora va con las feministas esta hija de puta sera una delincuente pero saber llegar al mercado url,0
121,121,alan ponce nora ruvalcaba roy campos pgr mx twitter support rick dj mx emarthaaide ileana mex sofimenem carlos torres f manuel vega cln carmen olvera ysenger magda gracias fch amy no manches eso es de maricones tirar a alguien de una silla de ruedas es no tener madre pero a que no lo hacen en un mitin porque les va como al ruso ese que madr earon por prepotente,0
122,122,jbdzul bbakiut gerarddelrivero oye pitayo no seras joto si quieres te demuestro que no soy joto,0
123,123,ttu te estas tirando a ese trol bizco y sifilitico y yo soy la loca jajajajjajajaj,0
124,124,tamedamus atlasfc las mariquitas les dicen ahora,0
125,125,stevenneira la triste retorica de las personas homosexuales victimizandose como bien dice steven ni son de otra especie ni se les ha negado nunca algun derecho pero se quieren adjudicar pseudoderechos en contra del bien y sentido comun,0
126,126,hdzcontreras no sea joto capi,0
127,127,michelle samano el nino parece dona cincuentona lesbiana del sur,0
128,128,brenda plancarte jajajajajaja puto wilo,0
129,129,respondiendo a la pregunta solo deja de sacarte la ceja y de hacer duckface pinche marica de mierda url,0
130,130,muero de risa cuando platico con un tipo que dice ser bisexual activo super discreto pero jamas ha tenido novia y sus ex son pura jota,0
131,131,me cambiaste por una gorda misera machorra y culera url,0
132,132,carlos loret par de maricones,0
133,133,quee pinches tigres maricones,0
134,134,lopezdoriga maldito maricon verg enza de la naturaleza humana,0
135,135,tener todos los albumes de justin en i tunes no me convierte en gay verdad,0
136,136,cc que jotos los hombres que usan cc,0
137,137,oficial frenaa en vez de sumar dividen al pais de un pendejo como su lider esquizofrenico y puto por k anda con sus pinches guaruras pero el dia que te vea te parto tu madre cabron y buscame tu solito puto,0
138,138,luis jajajaja tambien por maricon jajaja alv es cierto no te dolio es una mezcla de lo mejor del barca y el madrid sin messi y cr,0
139,139,azteca puebla tienen que prudrirse en l carsel x estafador y corrupto pinche mariquita,0
140,140,yo solo vine a gritarle puto al portero del leon como la damita que url,0
141,141,entonces si no seas mariquita yolo,0
142,142,punales viendose fijamente url,0
143,143,pepe es joto,0
144,144,tono es joto,0
145,145,gera huele a marica,0
146,146,phil chumel torres ahi lo dice claramente aparte de joto mitomano url,0
147,147,la partida de skywars que me ha hecho enojar mas que ninguna otra ven para ak marica url,0
148,148,porque eres tan pinche mandilon joto,0
149,149,alexsuarez da tu tanda maricon,0
150,150,iamfernandabec oi nomas en mariquita escandalosa,0
151,151,traguese bien la verga o lo madreo punal url,0
152,152,el mismo concepto si un travesti puede cambiar de genero entonces el tiene el derecho de cambiar de edad url,0
153,153,jose no andes de lloron joto,0
154,154,algo peor que un americanista maricon un tigre que se cree grande jajajajaja,0
155,155,charlsjav pinches jotos,0
156,156,entiendan feminas bonitos los putos,0
157,157,wulfrano pute companurl,0
158,158,ricardo eres marica,0
159,159,fernandeznorona por mi arrancatela viejo joto,0
160,160,albertochavezv marcha heterosexual putas para todos y trato especial para los que todavia estan indesisos y se queden en el camino machin,0
161,161,ruben charvel el maricon es el tal chineo,0
162,162,me toco un gay en uber,0
163,163,reporte indigo cuando los hombres den a luz en una sociedad pervertida y degenerada dominada por transgeneros si,0
164,164,que maricas se ven los corazones en cada tweet,0
165,165,esos gays apenas no les puedes decir algo y ya piensan que quieres sexo jajajaja,0
166,166,el waze es para mariquitas un verdadero macho alfa lomo plateado barba cerrada nalga torneada se mete por donde su instinto animal le dice,0
167,167,justinbieber pinchi maricon me la chupas,0
168,168,ser valiente ponga foto y no sea maricon yo tengo mi foto marce ty s aunque tambien algo tapada pero me pongo con ud url,0
169,169,como son bien maricas y se duermen temprano,0
170,170,silver rwolf carlos no le hagas caso a esos gays reprimidos amistad mientras yo sepa ke es mayor de edad basta y tengo pruebas ademas nadie le pidio ke viera mis fotos mejor ke se ponga a trabajar viejo senil solo roba el oxigeno a los demas,0
171,171,por que hay tantos homosexuales y lenchas en la carrera de qfb aqui en la uam pinches por que,0
172,172,g si me gusta la pelea jijiji vamos a darnos en la madre mariquita,0
173,173,a yuls haha los maricones ya no jugaron xd,0
174,174,y ahora todas las jotitas nuevas van a vomitar de elogios a la gaga sorry pero no es jessica lange golden globes,0
175,175,ser un maniaco depresivo no es tarea facil hay quien piensa que se trata solo de andar chillando con peliculas de perritos perdidos y la verdad va mas alla de ser un gordo marica,0
176,176,rturrent hell device sergio sarmiento que inmoral es este joto,0
177,177,amor yo t doy besitos para q ya no chilles q maricon eres babe,0
178,178,esos que le cargan la bolsa a sus mujeres tambien mean sentados pinches jotos,0
179,179,maldito marica envidioso deja de criticar gt lt,0
180,180,estuvo se escuchara medio joto pero es la verdad re bien bonito,0
181,181,tipico no le contestas un dm y dejan de seguirte que mariquita,0
182,182,en este establecimiento no se discrimina aunque sean prietos gordas jotos nacas pobres nonos putas licenciados etc primero la paz,0
183,183,me da un de tecate light no quiere unos tacones tambien pinche marica,0
184,184,tenia que ser su hermano jajaja igual de pinches jotos los dos,0
185,185,una de las cosas mas vale verga y jotas del mundo es decirle tipa a una mujer mejor dile puta suena menos mal si lo haces homie url,0
186,186,a donde te vas a ir de vacaciones nueva york las vegas paris londres todas las jotas cliches que no se saben otros destinos,0
187,187,mariquitas mariquitas como ninas siempre gritan url,0
188,188,xneritax bien que te gustaba el pequeno marica p,0
189,189,maxi hp frankymostro no manches ese es un transformer,0
190,190,soy el mas marica cuando veo una cucaracha asca diug,0
191,191,que pedo putos quien les inflo tanto el ego que les da el valor o quien les hizo tanto dano,0
192,192,la santiagoo jajaja pos no lo tengo mariquita te llamaria para decirte gay o algo asi despues colgaria,0
193,193,mariana soy llorar joto nomas los debiles lloran,0
194,194,que onda con las amigas de mi hermana que tienen anos y dicen que son bisexuales o seaa,0
195,195,ay que pinche marica me saliste,0
196,196,edgaromarel soy don party xolo elvis claudiashein lopezobrador aparte de joto con delirio de persecucion si te fuera a secuestrar van en comiendo y camionetas no en un taxi acompanado de una nina chairo estupido,0
197,197,un putito asi url,0
198,198,maricela arnaiz bisou caramel no soy punal,0
199,199,yo y mi super poder de tener a puro fan joto que horror,0
200,200,hasta eso los hombres gays como que son mas esteticos y refinados las lesbianas machines no url ya saludos a la comunidad lgbt,0
201,201,putos todoos,0
202,202,la gente ya quiere que todo sea joto jaja se maman,0
203,203,si se dan cuenta que le estan subiendo el ego a un joto tapado verdad,0
204,204,nacho rgz chumel torres luisito comunica son punales y se pintan las unas para no decir que les tienen miedo a los verdaderos informadores,0
205,205,fernanda sergio esquerra marvinfiscal lcoana be no te preocupes yo no atiendo gays ni lesbianas es muy conocido que no simpatizo con esa comunidad y prefiero no atender asuntos ni tener ese tipo de clientes exponiendo a mis colegas o a mi a ser chuleados por personas que no saben respetar al otro buenos dias,0
206,206,ustedes no quieren a nadie no se hagan jotos porque cuando les llega alguien ahi estan cargandola,0
207,207,vamos pecho frio no alcanzan las palabras donde esta la grandeza que presumes como hinchada rayados verg enza nacional maricones,0
208,208,yo url puto el primero que se contagie del coronavirus,0
209,209,capi speaking travesti es un vato con vestido transexual vato con chichis transgenero vato sin pilin,0
210,210,rarito negro idiota,0
211,211,eder cfcorrecaminos estadio mrg que pinches maricones,0
212,212,esta brucita tambien es mariquita,0
213,213,muy buenos y triunfadores de clasicos y excelente inicio de semana tengan todos ustedes menos a los que se quejan a ddhh a esos no por maricas y ly lurl,0
214,214,puto el que me de unfollow ahora que deje tw fav,0
215,215,no mms pinche neymarjr marica que te pico una hormiga o que,0
216,216,algun dia me voy a casar con puerto partida soy un marica digo soy un cobarde,0
217,217,el pulpomo evidegaray jrsestaca y le va a regalar un tradicional chorizouw a su hermano marica,0
218,218,alma culera los hombres dicen solo fue sexo para no verse tan maricas las mujeres dicen fue por amor para no verse tan putas,0
219,219,no tambien hay que respetar el hecho de alguien repudie a homosexuales afroamericanos etc digo hay quien gusta de vivir odiando cosas,0
220,220,swisingley diselo a el transgenero que gano miss espana,0
221,221,que trapeada le dieron a la mojarra lesbiana url,0
222,222,caarloosgzz quibole puto ee peda el fin sbs tqm bye,0
223,223,jajajajaja k marica que me bloqueas por wa esteban no aguantas nada,0
224,224,marica en otras palabras url,0
225,225,estos maricas le echan mix de michelada a sus cervezas bueno comprando pura cerveza culera ha de ser normal,0
226,226,romi rodriguez jajaja marica de verdad crees que soy marica jajaja,0
227,227,yo le hacia el cambio de sexo gratis a daniel por maldito joto cobarde yo no creo en los hombres,0
228,228,los vatos sacan el lado marica y las morras el lado sharmuta,0
229,229,hay que promover una ley contra la propaganda homosexual que condene la difusion de cualquier tipo de promocion de la homosexualidad dirigida a menores de edad con multas y penas de carcel url,0
230,230,habia conocido gays y a ti,0
231,231,que fuerte epn ya olias a putito url,0
232,232,elmorfeus por eso luego salen jotos y travestis los chamacos,0
233,233,marica,0
234,234,tengo gustos bien maricas,0
235,235,soymaestramiel me escriben vieja gacha indios pata rajadas y lesbiana vieja loca comes pollito muerta de hambre en youtube,0
236,236,jesus callate joto,0
237,237,your score try again i think you can do it well url los reto pinches punales samuelpi markcups santa nero saque no sean tramposos y contesten que sacaron a la primera,0
238,238,cervezas light jotos tenian que ser es lo que hay embarcadero nuevo de nativitas url,0
239,239,clon mil quedate con tu vieja pinche viejo joto url,0
240,240,los maricos que se sienten orgullosos de ser heteronormados y que desprecian a los afeminados son de la misma calana que los negros que no salen con negros mas oscuros porque los creen inferiores,0
241,241,veracru tierra de mayates y de hermosas mujeres url,0
242,242,alguien recuerda cuando salio justin bieber con su sencillo baby y todos pensamos que bueno que le den la oportunidad a una lesbiana,0
243,243,puto el que lo lea v,0
244,244,pinche morro meco traes un mazda y te estacionas en doble espacio para que no te lo rayen ni que fuera ferrari joto,0
245,245,por puto url,0
246,246,federer mierda tanto esfuerzo para jugar como marica el tie break,0
247,247,qp con esa loca lesbiana,0
248,248,como que hay mujeres trans lesbianas para que se hizo trans si va a ser lesbiana no tiene logica,0
249,249,les juroo que no queriamos bailar tan joto danieltvherrera arturomapache url,0
250,250,mi panda de oro con el miembro de fuera lo quiero mucho vaya cagada de fox sports rompiendo el tridente magico para meter con calzador en las narraciones a la machorra,0
251,251,si ya sabemos que te pones en cuatro por una chela y aqui vienes a tuitear que te haces la dificil jota ridicula,0
252,252,sergio sarmiento fernandeznorona entre mas viejo mas pendejo y mas maricon norona,0
253,253,si quieren que tome su opinion en cuenta procuren no ser unas locas que andan ensenando las nalgas en redes sociales ven por que la gente nadie respeta a la comunidad lgbt porque se comportan como unas prostitutas sacadas de sodoma y gomorra,0
254,254,carlos loret epn real donald trump lopezobrador de todos modos nadie te cree solo sabemos que eres un periodista amarillista y homosexual,0
255,255,mariquita sin calzones url,0
256,256,ojala ese punal ya no pueda ir a usa,0
257,257,acelerino dj bloody mary pide una cerveza eso esta muy de tremendo marica considero,0
258,258,dbacks estan para llorar les deberi a dar verg enza barridos por los nationals si no tienen ganas de jugar dediquense a otra cosa juegan como unas mariquitas,0
259,259,como cuando te maquillas un chingo para dejar de verte como una mujer fea y entonces te ves como un travesti feo url,0
260,260,crei que era anahi pero solo resulto ser un trans url,0
261,261,li lheathen mma pinche joto maricon decepcionante tu participacion jamas pagaria por verte nuevamente en el octagono,0
262,262,reforma ahh pero sus homosexuales pregonando su love por todo el mundo son iguales de locos que todos o hasta peores,0
263,263,scjn quee no puede ser no me sorprende despues de los homosexuales siguen cosas peores al rato va ser legal los pederastas,0
264,264,cristiano esta medio gay tu pregunta jajaja pero si el cabello largo viene de moda dale micky,0
265,265,me tienes envidia maricon,0
266,266,andrews gamez jajaja no seas joto,0
267,267,daniel marica,0
268,268,alguien es bien nena mariquita y flojo y ademas no quiere aceptarlo,0
269,269,de quien es al fundillo ya sal del closet punal frustrado no pasa nada y al contrario igual por fin puedes ser feliz en tu lamentable vida te lo escribio un heterosexual lamentable tus comentarios homofobicos url,0
270,270,puto check joto check maricon check el problema es suyo no nuestro,0
271,271,julioorojo primero que nada buenos dias y segundo ya se te quito lo joto,0
272,272,kai leonardo uy un joto,0
273,273,parezco puto omi de duelo xiaolin url,0
274,274,asiesmonterrey zeus xol dtj vicman poncho de nigris no salio domador jotito de poncho no doma ni mayate que trae,0
275,275,neta no me sorprende pero que hueva con los gueis un vato bien parecido mamado pone cosas que al chile no dan nada de gracia y los jotos de juhjugujugjug te pazas url,0
276,276,lo que tienes de hablador los tienes de puto,0
277,277,me regresa el acento colombiano maricas mal paridos,0
278,278,ale rayado ya vas a empezar marica,0
279,279,ya no conozco a nadie en el pueblo para salir solo mi mejor amigo y el marica ya se fue a dormir eso me obliga a beber solo,0
280,280,estupido marica mentiroso ignorante real donald trump como confunde una tragedia tan marcada para eu y new york url,0
281,281,genarolozano gabrielguerrac en la carcel marica donde deben estar los delincuentes que infringen la ley como los que hicieron esto a un policia de guadalajara url,0
282,282,se vera muy joto el baking,0
283,283,tio gamboin ya valiste verga con tu url lo ves soda es de jotos,0
284,284,mis felicitaciones por este medio a los dos putos de la shit antonio attolini y gibranrr no son gays pero si se los siguen cogiendo si se pueden hacer url,0
285,285,diegoteodia pinche joto jajajajajaja,0
286,286,miguel herrera dt espere que aceptes la ayuda del arbitro maricon pendejo,0
287,287,i marilyn monroe lo que pasa es que marimacha porque el otro se hizo joto,0
288,288,nxlsxn caracoldiaz es tatiana el joto parece que no la conoces encuerada,0
289,289,te mandaron al chorizo punal url,0
290,290,subete ami moto no porque soy joto y me puedo caeer remixfist url,0
291,291,pide a disney que no adoctrine a nuestros hijos con ideologia de genero en sus programas infantiles firma url,0
292,292,jefe ese punal es un botarate o sea un pendejo saludos url,0
293,293,me caga sentir tanto por alguien me caga el solo echo de sentir me siento tan marica,0
294,294,callodehacha berthisbonita se me hace que eres punal,0
295,295,xevtfm si puro joto andaba chupando cana,0
296,296,los hubieras abrazado joto url,0
297,297,enrique loopez nmms aguante maricon,0
298,298,mexico vs dominicana como se ve q todo esta arreglado para q mexico gane es falso y rosique no seas punal mao guau no seas puto cabron,0
299,299,porque sera url de maricones url,0
300,300,juan mhm no seas joto,0
301,301,barbara durango amelia waldorf desafortunadamente la mayoria de las personas proyectamos nuestros traumas y carencias en alguien mas y eso no esta para nada cool y sumale que los gay tienen complejo de regina george,0
302,302,ruso zamogilny antes les decian la margaritas del atlas hoy son las mariquitas limosna puntos,0
303,303,mickemeda aplica de cualquier modo si muchos homosexuales michoacanos fueron a cedemex se desequilibro la balanza dejando una concentracion anormal,0
304,304,puto el que lo lea,0
305,305,alex sopitas greciaplg pense que ya no podias ser mas joto ahha,0
306,306,cperaza aletzbravo como tu no puedes maricon,0
307,307,iyaroboxander jajaja ni el odio de dios combinado al tuyo le quitara lo travesti que se ve jared,0
308,308,leftkist real anthony usa si fueras hombre te agarro a madrazos real anthony usa asi que mejor te madreo a puras cachetadas punal,0
309,309,pinche estupido marica wey quitate del aparato alv,0
310,310,puto url,0
311,311,si no traes un peinado de goku entonces no eres lesbiana,0
312,312,luisa jajaja es que las lesbianas me dan miedo,0
313,313,ddouble trouble cuando van a subir video par de maricones,0
314,314,cc tu crush de la primaria te habla como si fueran los mejores amigos del mundo jajaja joto ya ni me acordaba de tu existencia no mms,0
315,315,mariquita url,0
316,316,eres un maricon,0
317,317,marica,0
318,318,sabia que eran maricas pero no tan descarado url,0
319,319,p d activa la cuenta de puto grupito pinche maricon cobarde,0
320,320,la chinita sigue creyendo que el frank es hombre hasta mayate tiene en el gimnasio,0
321,321,porque van a trabajar a una oficina con una cangurera aparte de verse maricones van a hacer ejercicio no mamen pinches nacos,0
322,322,aurelionuno a ti lo que menos te importa es la ninez mexicana los utilizas para escudar tus mezquinos intereses pinche mayate,0
323,323,bizbiriije apg tigres oficial gracieve bizbiriije apg tigres oficial otro jotito rayado enamorado que quiere que le contesten jaja,0
324,324,carwega jajaja todo un mayate papi dile a tu presidentito jajaja los de la marina parecen mayates bueno son,0
325,325,ya cortate el pelo gay mexicali baja california url,0
326,326,lexpedraza si pero en punal,0
327,327,sigues siendo el mismo marica de siempre,0
328,328,maricon puliidoo url,0
329,329,nerazzuro maciones del pinche url aizen gay,0
330,330,putito te refieres a mi,0
331,331,tantos tatuajes y yo taan pobre y marica al dolor,0
332,332,pinche maricon pendejo neta ojala que se url url,0
333,333,ya cualquier punetas critica a lo pendejo y a la hora de responder url pinches jotos,0
334,334,pierre v pptnlk monche pepe invictos somos si la verdad se ve muy joto ese,0
335,335,kmbappe neymarjr nel mi mbappe que chingue a su madre el putito de de neymar un aigrecito juerte y se cae pinque mariquita de miercoles alv,0
336,336,pinche grupito de puros putos no mmes,0
337,337,im carlitoo no traten de ocultar que les gusta que le metan el pene por la cola eso es ser princeso es puro afeminado,0
338,338,benemeritos gc fanaticos y mariquitas es lo que son todos ustedes y ademas son capaces seguro de organizar un golpe vigilar a estos enfermizos policia guardiacivil zoido ji,0
339,339,evy soto si la costena tiene chile es transgenero jajajajjajjaaja,0
340,340,caderas blancas fer leon mx callodehacha lopezobrador mira nomas y el hombre trans tiene escroto digo aprovechando el comentario,0
341,341,lunaazulada sera a los jotitos ellos prefieren las banderillas,0
342,342,vergas con el gay que me acaba de hablar,0
343,343,quien no entiende el sarcasmo cuando le toca es marica,0
344,344,david pech sosa porque siempre me insultas maricon i no veniste a casa de h u u,0
345,345,machorra y americanista,0
346,346,erik ra no uso desodorante ni articulos homosexuales yo huelo a hombre,0
347,347,mundo lgbtti lgbt sexybootyshd diosas lesbianas por mi se pueden morir no tengo conveniente gay of europa url,0
348,348,adivinen quien maricas me dejaron sola viendo anabell por que les dio miedo si mis hermanos,0
349,349,lopezdoriga ahora ya eres tigre maricon pinche vendido si quieres vente te pago el boleto para que veas coronarse a las chivas,0
