sub_id,content,L,G,B,T,O
28_Track2,Los trolebuses del desgobierno de @EPN son idiotas. Uno se pone Valeria y dice que tiene pito O es travesti o tiene el clitoris desarrollado,0,0,0,1,0
29_Track2,"Si la gente supiera que eres un marica que manda Biblias por WhatsApp, se te caería tu teatro de ""Me siento bien vergas""",0,1,0,0,0
30_Track2,Porqué será. url de maricones. ...😠😬 url,0,1,0,0,0
31_Track2,"@LaTortilleriaQ si vamos a hacer un vagón ""seguro"" que incluya a hombres gay y saquen a lenchas

/@0ctavioGuerra @appleninde @InmujeresCDMX",1,1,0,0,0
32_Track2,"Vato marica metiendose con una url
#LordCafe 

A ver si la raza saca quien es. url",0,1,0,0,0
33_Track2,Cuando las lesbianas salen a comer quien paga la cuenta? #YoMisogino,1,0,0,0,0
34_Track2,"@valndin Esos que te dijeron eso son gay, los hombres no rajamos y diles que digo yo. url",0,1,0,0,0
35_Track2,@hectorghs @BullyingFutbol pinches jotos.,0,1,0,0,0
36_Track2,"Por puto, por joto, porque así es Méurl lo sé. #Must por el maestro @fdelcollado url vía @mexicopuntocom",0,1,0,0,0
37_Track2,Si quieren que tome su opinión en cuenta procuren no ser unas locas que andan enseñando las nalgas en redes sociales. ¿Ven por qué la gente nadie respeta a la comunidad LGBT? Porque se comportan como unas prostitutas sacadas de Sodoma y Gomorra.,1,1,1,1,1
38_Track2,@mvegab17 @iloveRamgsi Que marica.,0,1,0,0,0
39_Track2,Nunca había visto a tanto maricon reunido.,0,1,0,0,0
40_Track2,@pereaoficial jajajaja url puto,0,1,0,0,0
41_Track2,@alexduartte ta bueno joto despues lo veo,0,1,0,0,0
42_Track2,@Fer_Gay @TheRock @AlexMonthy A mí @HectorTrejo me inspiró recordándome esta canción: url,0,0,0,0,1
43_Track2,"Transitan echándote las luces largas segun tienen prisa,te rebasan a lo menso y adelante los alcanzas en el semáforo, tan mas #mariquitas",0,1,0,0,0
44_Track2,Ando de mariquita oyendo música romáurl saben quien soy ahora ?,0,1,0,0,0
45_Track2,Otro joto obsesionado con su peso. Wurl,0,1,0,0,0
46_Track2,Estupido marica mentiroso ignorante  @realDonaldTrump como confunde 911 una tragedia tan marcada para EU y #NewYork url,0,1,0,0,0
47_Track2,@davidolin65 @Cherry_Lune @DanielCoach3 @edufabila11 espero dejes de contestar con esa imagen de maricón y ya entrenes,0,1,0,0,0
48_Track2,No es posible que un #gay no se sepa las #canciones de @GloriaTrevi !!!!! 🙄,0,1,0,0,0
49_Track2,"url

#eitLife Me gustaría  que no existirán los gays; diputada de Morena url",0,1,0,0,0
50_Track2,"@_TioGamboin Al menos los de acá de Oaxaca no nacemos tan mongoles y gays como un tal ""Gamboín"" te podemos hacer desde un ""taco al pastor"" (de trompo tienes el cuerpo) hasta darte tu ""sushi"" claro su- url 🌶 😂😂",0,1,0,0,0
51_Track2,Vergas con el Gay que me acaba de hablar?,0,1,0,0,0
52_Track2,En un universo alterno @AlxnGxrcix es chairo y @dobbyloca no se volvió puñal.,0,1,0,0,0
53_Track2,Pinches jotos #CivilWar #TeamIronMan #TeamStark url,0,1,0,0,0
54_Track2,Hay algún jugador más puto y maricon que Gago???? @MatiDiGia,0,1,0,0,0
55_Track2,"Neologismos.
Maricomio : psiquiátrico para locas, maricas y gays.
Apapuchar: Acción de consentir al pubis.
Sopervisor: supervisor torpe.
@lacornetafm @jrsestaca @EVIDEGARAY #nuevoneologismodehoy",0,1,0,0,1
56_Track2,@PepeMontalvo @cometa_ es un puñal.,0,1,0,0,0
57_Track2,"Jajaja ... espero que tú también aguantes y te rías cuando los epítetos lanzados a las mujeres  por el simple hecho de serlo te toquen a ti: “maricón”, “mal cogido”, “histérico”, “menopáusico”, “visceral”, “ninguna verga te acomoda”, “pinche viejo”, “estridente”, “brujo” y más. url",0,1,0,0,0
58_Track2,@JhonatanGaribay ajajajaja si no es que se huanguea tu puño y se vuelve puñal como manuela palma xD,0,1,0,0,0
59_Track2,"""Qué marica, te lo debió de haber dicho de url Bueno, pero ni le das la oportunidad jaja."" 
—Onofre diciéndome mis verdades.",0,1,0,0,0
60_Track2,Creí que era Anahí pero sólo resultó ser un trans. url,0,0,0,1,0
61_Track2,@keevii08 Amor yo t doy besitos para q ya no chilles q maricon eres babe,0,1,0,0,0
62_Track2,Machorra y americanista 🤔,1,0,0,0,0
63_Track2,@lupillesco @Milenio Sólo quiere llamar la atención el joto,0,1,0,0,0
64_Track2,"@javier8bello @ChivasFemenil Jajajajaja ya Se we, si así tengo pegue con los jotos con esa más 🤦🏻‍♂️",0,1,0,0,0
65_Track2,Caminar por zona rosa y no ver gays es genial 👌🏼🌠,0,1,0,0,0
66_Track2,@juanistofelez Crei que nada superaría al de multa por marica 😏,0,1,0,0,0
67_Track2,explíquenme la urgencia de los jotos de hacer reels o tiktoks con peluca y voz de mujer,0,1,0,0,0
68_Track2,"@mexico_survivor Que se termine este pinche teatro 
Si ya tienen su ganador la producción y el joto del Warrior , pinche decepción de reality
tener que ver ese adefesio llamado Naomi el transformé que se pudran todos los que quedan disque compitiendo.",0,1,0,0,1
69_Track2,Maricon  @puliidooo url,0,1,0,0,0
70_Track2,"Nombres de Puñal:
Leonardo 
Emmanuel 
Sergio
Omar
Saúl
Eric
Eduardo
Rodrigo
Jorge

Ese es todo el tuit gracias por su atención",0,1,0,0,0
71_Track2,"Vecinos! Esta noche proyectaremos con @FESTIVALMIX el documental de @flavioflorencio para @ViceMexico: «Trans»! 8 pm, Callejón del 57! url",0,0,0,0,1
72_Track2,"@kymberlybebita @AlexisR34751565 No lo tomen en cuenta, los va a dejar plantados el maricon pocos huevos este. url",0,1,0,0,0
73_Track2,"¿ Crees correcto que no podamos utilizar la palabra maricón porque nos sancionan?
La RAE la avala url",0,1,0,0,0
74_Track2,Ay! Que pinche marica me saliste.,0,1,0,0,0
75_Track2,"Beto y Enrique de Plaza Sésamo eran pareja, tenían que salir con esto. ¡Por favaar, a fuerza  tiene que ser todo gay!",0,1,0,0,0
76_Track2,"@CriSzis @TheNifel @marcelamerino @FrenteOrgulloMX @adrianodanz @CoalicionLGBTTI @NoticiasLGBT @tagletaigaro @luisperelmanmx @jrisco @JohnMAckerman @CiroGomezL @Movilh @jenarovillamil Si. Hueva. Da la misma que una jota sea un puto o una pasiva. ¿Para que diferenciar entre oso, activa y twink? Pinches categorías innecesarias de maricones y afeminados. Todo es lo mismo que “Gay”.",0,1,0,0,0
77_Track2,@CaroRuix ahhh no entonces es una amiga closetera mas !,1,0,0,0,0
78_Track2,@Johnnyvgarcia @bobbypulido425 @La_Gr0sera el @PezdelReal tiene como 1 semana sin url debe andar pedo! Pinche tigre Joto!,0,1,0,0,0
79_Track2,@Will_FuckU marica ahorita bajo :) vos por cierto todavía sirve transformer JAJAJAJAJAJAJA cuando entras a estudiar ?,0,1,0,1,0
80_Track2,@SoyEcchi @mayatitos 🤤🤤Quiero.,0,1,0,0,1
81_Track2,Tengo gustos bien maricas.,0,1,0,0,0
82_Track2,@elmorfeus por eso luego salen jotos y travestís los chamacos!!,0,1,0,1,0
83_Track2,"@Alejand53455108 @PhilPage30 @ChumelTorres Ahí lo dice claramente, aparte de joto,mitomano? url",0,1,0,0,0
84_Track2,@justinbieber pinchi maricon me la chupas,0,1,0,0,0
85_Track2,Te dijeee!!! Borrado por fín y tambien de la selección con su lesión de marica tambien borrado @Fer_capital  url,0,1,0,0,0
86_Track2,@xevtfm si puro joto andaba chupando caña,0,1,0,0,0
87_Track2,"""¡Marica!"", le gritaron, y desde entonces se guardó en un clóset.",0,1,0,0,0
88_Track2,@julioorojo Primero que nada buenos días y segundo ya se te quito lo joto?,0,1,0,0,0
89_Track2,"Los gays que dicen ""Bro"", namames, te la comes doblada y me vienes a decir ""bro"".",0,1,0,0,0
90_Track2,"Lia Thomas, matriculada en la Universidad de Pensylvania, ha dominado la natación femenil universitaria de Estados Unidos, lo cual no hacía cuando hasta hace unos años competía como hombre. ¿Esta situación es a favor de la mujer? url",0,0,0,1,0
91_Track2,@adrianrm196 Me puedes criticar pero llamarme afeminado es tremenda falta de respeto. Como buen milenial no mides bye,0,1,0,0,0
92_Track2,"-Jajaja piiiinche joto, quien te pinto las uñas joto?
-Tu mamá",0,1,0,0,0
93_Track2,Ya casi es Junio y tu sigues de puta #ElGorgojoDeMORENA,0,0,0,0,1
94_Track2,@Chivas jotos maricones como @jorgevergara  url,0,1,0,0,0
95_Track2,Me dan mucha risa los memes de la jota de caso cerrado 😂😂😂,0,1,0,0,0
96_Track2,Cervezas light??? Jotos tenían que ser!! 🙄🙄🙄 es lo que hay! @ Embarcadero Nuevo de Nativitas url,0,1,0,0,0
97_Track2,"El sabado: para quién debe ser el mensaje del festejo de viejito con bastón

Lunes: Pum!! Por andarle jugando al vergas, me lo mandaron a la chingada 

En Computrabajo puedes buscarle como "" Recamarera "" 

Maldito marica",0,1,0,0,0
98_Track2,"@_mikastro No tiene nalgas, si es lesbiana jajaja",1,0,0,0,0
99_Track2,Me tienes envidia maricón!!,0,1,0,0,0
100_Track2,@SergioSarmiento @fernandeznorona Entre más viejo mas pendejo y más maricon Norona.,0,1,0,0,0
101_Track2,"@AlanPonce_29 @Nora_Ruvalcaba @RoyCampos @PGR_mx @TwitterSupport @RickDjMx @emarthaaide @ileana_Mex @sofimenem @CarlosTorresF_ @ManuelVegaCln @carmen_olvera @ysenger @MagdaGraciasFCH @AmyCe2 No manches.

Eso es de maricones.

Tirar a alguien de una silla de ruedas es no tener madre.

Pero a qué no lo hacen en un mitin, porque les va como al Ruso ese que madr
earon por prepotente",0,1,0,0,0
102_Track2,@poqkeeet Porque Eres Un Vato 🙄 Puta Lencha,1,0,0,0,0
103_Track2,Ya cualquier puñetas crítica a lo pendejo y a la hora de responder url Pinches jotos,0,1,0,0,0
104_Track2,Haciéndosela de pedo a jotos useless,0,1,0,0,0
105_Track2,@HeeyWera pff es bien marica,0,1,0,0,0
106_Track2,@url  Y esperabas tu arcoíris 🌈 marica?,0,1,0,0,0
107_Track2,"""@JBDzul: @bbakiut @gerarddelrivero  oye pitayo no seras joto 😁""//si quieres te demuestro que no soy joto",0,1,0,0,0
108_Track2,"Felicidades a todos los jotos que si bien no son madres, han cargado con los chavitos de otro 😘",0,1,0,0,0
109_Track2,"@Pajaropolitico @NewsweekEspanol QUE CHINGUE A SU MADRE ELLO, PORQUE ES JOTO, Y SU MADRINA EL ORATE RT",0,1,0,0,0
110_Track2,No entiendo porque existen hombres tan maricones !! DIOS MIOOOOOO! Que. Penita,0,1,0,0,0
111_Track2,@El_Universal_Mx Más bien un transgénero jamás será igual a una mujer.,0,0,0,1,0
112_Track2,@A_Yuls  haha los maricones ya no jugaron XD,0,1,0,0,0
113_Track2,"Las de Kittie parecian lesbianas, no como las mystica girls, ellas son bien femeninas",1,0,0,0,0
114_Track2,"@johnerencastle Eduardo Verástegui terminó de mayate de políticos, le deja más que trabajar en Televisa.",0,1,0,0,0
115_Track2,"noche de sushi, es lo mas gay",0,1,0,0,0
116_Track2,Magnate ofrece 130 mdd al hombre que conquiste a su hija lesbiana url,1,0,0,0,0
117_Track2,@fernandeznorona Por mi arráncatela viejo joto,0,1,0,0,0
118_Track2,@FelipeCalderon Una botella de alchol para este borracho pendejo q en su secsenio nunca bajó mucho menos en el del maricon de peña,0,1,0,0,0
119_Track2,"Es de jotitas muy corrientitas cortar las palabras como para verse ""nice"" o de plano son muy wuebonas para escribir y url 
Que hueva cuando hablan así de ""celu""""pelis""""bendi"" url",0,1,0,0,1
120_Track2,@Maxi_HP @frankymostro no manches ese es un transformer,0,0,0,1,0
121_Track2,@Sigfridoma @dan_sfn Ya ves!!!!! No dejas de ser el gordito sentimental de la@línea ofensiva jajaja QUE GAY!!!!!,0,1,0,0,0
122_Track2,"Si se dan cuenta que le están subiendo el ego a un joto tapado, VERDAD?",0,1,0,0,0
123_Track2,Y el premio de los mellizos putos es url url,0,1,0,0,0
124_Track2,@divette10 Pose de lencha alfa 🤣,1,0,0,0,0
125_Track2,"No tengo nada en contra de los trans, pero me da mucha risa que enseñan todo. Si en realidad fueran mujeres quizá no se atreverían. 😂",0,0,0,1,0
126_Track2,"@TakerMetal No, solo digo que yo comencé mi día a las 6 así que mi día ha estado chingon :v tu eres el puto que de cualquier cosa te gusta andar alegando xd",0,1,0,0,0
127_Track2,@gerrykan @MarcoFabian_10 ay! ay! tú las traes. Maricón.,0,1,0,0,0
128_Track2,No mms pinche @neymarjr marica que te pico una hormiga o que,0,1,0,0,0
129_Track2,Seré Breve: Pinches americanistas maricas.,0,1,0,0,0
130_Track2,A los únicos que yo voy a respetar su decisión y decir que es no binario son a los hermafroditas o sea en todo el mundo es menos del 1% el cual al día de hoy no he visto a ninguno confundido pidiendo que les reconozcan como no binario jaja,0,0,0,0,1
131_Track2,Tenia que ser su hermano jajaja igual de pinches jotos los dos😂😂😂,0,1,0,0,0
132_Track2,@Matador08640286 @carwega Jajaja todo un mayate papi dile a tu presidentito jajaja los de la marina parecen mayates bueno son,0,1,0,0,0
133_Track2,"@EzeTowers @_Anagantios_ Yo también, literal tiene lo peor de los dos lados de los jotos las tóxicas quesque de masculinas que no mandan cara y las jotillas liosas, y lo peor ni cogen jajaja",0,1,0,0,0
134_Track2,"O mejor ""todos"", q incluye femenino, masculino, transgénero, homosexual, bisexual y lo q esta semana agregue la corrección política. url",0,0,0,0,1
135_Track2,"@genarolozano @gabrielguerrac En la cárcel marica, donde deben estar los delincuentes que infringen la Ley.

Como los que hicieron esto a un policía de Guadalajara url",0,1,0,0,0
136_Track2,"No  se conforman con ser jotas, tienen que ser feas y, encima de todo, hablar como niñas.

¡VER-GA!",0,1,0,0,0
137_Track2,Maldito marica envidioso. Deja de criticar. &gt;.&lt;,0,1,0,0,0
138_Track2,@Gay_bulge Hermosa!,0,0,0,0,1
139_Track2,"Tengo familiares Gay, Trans y lesbianas a los que amo muchísimo. Pero ellos tienen sus propios concursos, Miss universo si debería ser solo para mujeres. url",1,1,0,1,1
140_Track2,@Santiagodelacm puñal,0,1,0,0,0
141_Track2,@Ricardo_Jaar El mariconcito de Emilio atacó con alevosía y ventaja! Como buen joto!,0,1,0,0,0
142_Track2,"Ser homosexual implica que nunca hay agujero equivocado.

Punto para los gays.",0,1,0,0,1
143_Track2,"Ser tortillero me hace lesbiana?

Cco
@oliver_mx url",1,0,0,0,0
144_Track2,@FresaTigre @lunancys12 @blanks_rayada Te vez más joto sin barba,0,1,0,0,0
145_Track2,"Si creen que a las Argentinas no les importa nada, no saben lo que son en Mexico 🌶.
Pd: Ya me quisieron coger dos gays 🧐👍🏽",0,1,0,0,0
146_Track2,@Reporte_Indigo pinche joto mejor me la hubieras mentado jajajaja,0,1,0,0,0
147_Track2,"@florentinakane @HugoChappaloni @mexican_fifi Yo no tengo nada en contra de los homosexuales,lesbianas, travestis, transexuales etc, etc, para nada. Pero como ya hubo un caso, osea hay un antecedente ¿porqué tenemos que arriesgar a las mujeres o niñas a que vuelva a suceder?
Es mi opinión. Pero ""ojo"" no es ley. Cada quien.",1,1,0,1,0
148_Track2,"-MAMÁ!! Y ESA PLAYERA CON GANSOS ROSAS QUE!? 
-Es la que me pediste
- TE DIJE: GUNS AND ROSES! GUNS AND ROSES! 
-PONTE LA PLAYERA JOTITO
-Ay",0,1,0,0,0
149_Track2,¡¡Chingó a su madre nuestra puta moral!!,0,0,0,0,1
150_Track2,Un putito así url,0,1,0,0,0
151_Track2,@moruzhalee es que tu sabes que ha esta hora se me sale lo marica xD y no finjas que tu tambien me dices cosas lindas /.* [que weca x) ],0,1,0,0,0
152_Track2,@MichMich92 @Tusico Siempre es sabido que siempre se burlaban de Renata hasta que ella en un antro le aventó una cheve a José y estos la quemaron en las redes por naca y salvaje. Ella solo se defendió del bullying que ese joto le hacía.,0,1,0,0,0
153_Track2,"@s0fpi @rochaperiodista Oye si, ese niño ya es el escudo infantil oficial de la agresividad closetera de la dama. Así que ni se quejen de los malos tratos que le propina al morrillo que ya deberia de estar acostumbrado!",0,0,0,0,1
154_Track2,"Todos tenemos ese amigo que dice ser gay únicamente para sabrosear a sus amigas 😂😂
Bien ahí campeón",0,1,0,0,0
155_Track2,"@fernandeznorona Ahí si, me dijo mariquita, me dijo La vestida! Jajajajja jajajaja que nena eres! #quenenaeresnoroña",0,1,0,1,0
156_Track2,"@acelerinoDJ bloody mary?!! pide una cerveza eso esta muy de tremendo marica ,considero",0,1,0,0,0
157_Track2,@AdriannaGarco que marica! Hahaha mejor riiifate en el final!,0,1,0,0,0
158_Track2,@tuca_ferretti @MiguelHerreraDT si  que paso pinche piojo puñal jajajajaja   profe tuca es lo máximo usted   vamos por la  sexta copa  :),0,1,0,0,0
159_Track2,Que estará haciendo la machorrita  @felip87,1,0,0,0,0
160_Track2,@JTrianaT @ElJuntapalabras Un 'puñal' mugroso,0,1,0,0,0
161_Track2,Les jurooooo que no queríamos bailar tan joto 😂😂😂😂😂😂😈 @danieltvherrera @arturomapache… url,0,1,0,0,0
162_Track2,#Entérate Descubren reproducción asexual de pez sierra url url,0,0,0,0,1
163_Track2,"""Dejen de tuitear sobre el partido, ya empezó Gaim Of trons""

- Un pendejo mariquita.",0,1,0,0,0
164_Track2,"Yo y mi súper poder de tener a puro fan, JOTO! QUE HORROR",0,1,0,0,0
165_Track2,"Mi hijo tiene tendencia homosexual ¿qué hago? url
●Padres &amp; Hermanos Paulinos● url",0,1,0,0,0
166_Track2,"Mira pendejo tu mides como 1.50 mts.
No tienes piernas ni nalgas, estás feo y prieto, y para terminar, porque juzgas, no me conoces, no te enseñaron respeto en tu casa?
Que no sabes que uno no debe entablar conversación con url #Envidioso tú eres marica",0,1,0,0,0
167_Track2,"@PacoDelMazo Literal Paquito, me cago! Me harto la jota!",0,1,0,0,0
168_Track2,JAJAAJAJAJAAJAJAJAJAA estos jotos no le temen a dios url,0,1,0,0,0
169_Track2,@ESTiosBuenos @HoIaSoyGermam eres un corriente homosexual de closet siquiera reconócelo a nadie le importa,0,1,0,0,0
170_Track2,"Por QUÉ NO LE DICEN A ESTA LESBIANA QUE CALLADA SE VERIA MEJOR NADIE LE PIDIO SU PERRA OPINION Y ANTES DE HABLAR QUE SE LAVE EL HOCICO CON AGUA BENDITA LA SEÑORA VERÓNICA CASTRO ES UNA GRAN DAMA Y UNA GRAN MUJER .
SE TENÍA QUE DECIR Y LO DIJE url",1,0,0,0,0
171_Track2,"Al final de la transmisión del Cazul-Ame por la App de @TD_Deportes ponen a @CarlosLoret a hablar mal del @lopezobrador_ , televisa eres una arrastrada, que hace el coyon en un programa de deportes? Por eso te quieren dejar sin dientes marica #RedAMLO #LoDiceElSultánDelNorte",0,1,0,0,0
172_Track2,Algún día me voy a casar con Puerto partida (Soy un marica digo soy un cobarde),0,1,0,0,0
173_Track2,Sabes que un hombre es gay cuando pone un playlist de Rocío Dúrcal.,0,1,0,0,0
174_Track2,@Oswaltol1 Eres Joto verdad?,0,1,0,0,0
175_Track2,Llega un jotito a una taqueria le dice señor taquero meda un taco con chile nooo mejor sin taco y 5 por favor jojojojo 😋,0,1,0,0,0
176_Track2,Malditos changos panameños hijos de puta ya andan de maricones!,0,1,0,0,0
177_Track2,@xneritax bien que te gustaba el pequeño marica :P,0,1,0,0,0
178_Track2,"@barbarasanz7 @ijcasas Grandísimo patan, corriente y maricon",0,1,0,0,0
179_Track2,"Quieren un mundo #SinHomofobia pues que desaparezcan los jotos, maricones, putos, gays, lesbianas, machorras, tortilleras y demás sinónimos",1,1,0,0,1
180_Track2,Que maricas se ven los Corazones en cada #Tweet !,0,1,0,0,0
181_Track2,@ChaloLeite ahora pinchi joto gracias,0,1,0,0,0
182_Track2,"Wey, peda con rolitas de Lady Gaga, no porque me sale la jotita interna",0,1,0,0,0
183_Track2,@josecap97 Porque la vida te odia joto,0,1,0,0,0
184_Track2,Puto pelon de mierda @LIGABancomerMX  los odio mueranse a la verga putos Chacón y ustedes putos corruptos a la mierda los odio,0,1,0,0,0
185_Track2,"Me considero un ser de luz!
(Pero nunca le rendiré tributo a CFE) bola de jotos !",0,1,0,0,0
186_Track2,"Rayos, me bloqueo el marica",0,1,0,0,0
187_Track2,@Enfranjados_DC @RayValenciaT Y los supuestos audios que tenía. La agresión a los aficionados. Es todo un maricon ese Pepillo Hanan,0,1,0,0,0
188_Track2,Esta el joto que siempre se me queda viendo 🤦🏻‍♂️,0,1,0,0,0
189_Track2,"#MePongoBorrachoPor puro gusto, nada por depresion eso es para maricas! xD",0,1,0,0,0
190_Track2,"Si muchas vestidas agregadas has de tener, mayate has de ser",0,1,0,0,0
191_Track2,"¿Saben como fue que Sheinbaum desapareció el cuerpo de granaderos? 

Exacto. Los volvió bisexuales. MAFIA GAY.",0,1,1,0,0
192_Track2,"Nodal es la lesbiana intensa de la relación.

Siono.

@elnodal @belindapop url",1,0,0,0,0
193_Track2,@RICARDOPELAEZ9 marica,0,1,0,0,0
194_Track2,"Mis felicitaciones por este medio a los dos putos de la 4 shit @AntonioAttolini  y @gibranrr no son gays pero ,si se los siguen cogiendo , si se pueden hacer ! url",0,1,0,0,0
195_Track2,"“Cualquier actor o actriz puede hacer cualquier papel”, ustedes trans como molestan.

Ya los veo si hubieran propuesto a Halle Berry para ser el próximo Batman.",0,0,0,1,0
196_Track2,Maricas url,0,1,0,0,0
197_Track2,"El que se cree bien macho y disque Influencer pero realmente @SoyRobRMX es marica y puñetas que le gusta el color rosa y que se pone un mameluco de niños. 🤣

#ConLosNinosNo #RedAmlove #OposicionMoralmenteDerrotada @gallotal #RedAMLO @rorocanibal url",0,1,0,0,0
198_Track2,"-¿Me da un 12 de Tecate light?
-¿No quiere unos tacones también, pinche marica?",0,1,0,0,0
199_Track2,"¿En qué momento @Tinder permitió que el apartado de mujeres se llevará de homosexuales que fingen ser mujeres?

Y todavía cobran por verlos.

Estás fracasando, @Tinder.",0,1,0,0,0
200_Track2,"Rápido.. ¿CUÁLES ERAN ESAS RESPUESTAS?

Also ""pitonisa"" es un excelente nombr alburero para una mujer trans. url",0,0,0,1,0
201_Track2,"@juncalssolano Callase el hocico pinche transformer matraquero, url",0,0,0,1,0
202_Track2,Mi @ConchitaWurstQue Pitos Toca En Los #GoldenGlobes??? Maldito Joto Feo!  url,0,1,0,0,0
203_Track2,Qué fuerte #Epn ya olías a #putito url,0,1,0,0,0
204_Track2,@Alex_16ec @sopitas @greciaplg Pensé que ya no podías ser mas joto ahha,0,1,0,0,0
205_Track2,#vucetichmeteme Todos los de Veracruz son jotos! Jajajajaja,0,1,0,0,0
206_Track2,"Aaah, viejillo mañurl puñal, diría yo url",0,1,0,0,0
207_Track2,"Digo, la idea no es satanizar ningún modo ser mujer. Ningún modo es más correcto. Solo me sorprende lo COMÚN que es la vieja trans sexuada. url",0,0,0,1,0
208_Track2,no justin porqueeeee!! porque te me hiciste gay tu tambien :(,0,1,0,0,0
209_Track2,"fernanfloo no as hecho lo que te dige de geometry dash que juegues otro nivel que no sea online o eres marica, puto miedos de mierda maricon",0,1,0,0,0
210_Track2,"@eddy_tigre22 @VladimirGarciaG @Tamedamus @FJG_TD Acá hay uno del 2021, de hecho un twitter search “rayado maricon” y hay de todos los años url",0,1,0,0,0
211_Track2,@Olbaid666 @Cristiano Esta medio gay tu pregunta jajaja pero si el cabello largo viene de moda dale micky,0,1,0,0,0
212_Track2,@_TioGamboin Ya valiste verga con tu url Lo ves? Soda es de jotos.,0,1,0,0,0
213_Track2,"La chinita sigue creyendo que el Frank es ""hombre""

Hasta mayate tiene en el gimnasio.",0,1,0,0,0
214_Track2,"Que joto queriendo hacer un gol, fingiendo una falta.  

#Tipicodelamerica",0,1,0,0,0
215_Track2,"Y ese JAVIER a la torre que? Si ni siquiera sabe si es hombre o que? Experto en mentiras y edición de noticias, deberían de vetarlo hasta del mundo de los homosexuales. Mariquita sin calzones url",0,1,0,0,0
216_Track2,Traguese bien la verga o lo madreo puñal url,0,1,0,0,0
